Sr No, Blood Bank Name, State,District, City,Population,Donors,A+,A-,B+,B-,AB+,AB-,O+,O-,Boold Unit(ltr), Address,Pincode, Mobile, Email, Category, Blood Component Available, Service Time
606,Manglam Blood Bank,Haryana,Hisar,Hisar,121456,6669,80,1301,1316,375,771,1059,1172,595,3241,"No 139, NH10-Tosham Road Connection Road, New Model Town, Jindal Hospital Road, ",371956,9034347785,manglam0578@gmail.com,Government,YES,24x7
607,Hisar Blood Bank,Haryana,Hisar,Hisar,103372,10110,1341,838,1012,1426,948,1521,1522,1502,3268,Hisar,255788,7379666939,kalra_lab@yahoo.com,Government,YES,12x7
608,Dr. Anant Ram Janta Hospital Blood Bank,Haryana,Hisar,Hisar,163896,10354,1428,702,1099,1658,1467,1753,1786,461,984,"Hospital Road, Hisar, Barwala",401176,8349297220,dranantram_b@yahoo.com,Charity,YES,24x7
609,"National Blood Bank, Kharab Hospital Blood Bank",Haryana,Hisar,Hisar,220938,6281,646,357,1842,1786,7,769,431,443,2149,"47, Near Budhla Sant Mandir, Rishi nagar, ",498508,8278657932,mk885200@gmail.com,Charity,NO,24x7
610,Sarvodaya Blood Bank services,Haryana,Hisar,Hisar,234192,6426,1587,2,1752,265,884,340,27,1569,1566,"Sravodaya Multi Speciality Hospital 
Opp. Red Cross Bhawan, Delhi Road, Hisar",324519,8500577781,"uk.sarvodaya@gmail.com, nem.s@sarvodayahospital.com",Private,YES,24x7
611,General Hospital Blood Bank Hisar,Haryana,Hisar,Hisar,186399,11406,1296,284,903,1941,1473,1781,1958,1770,746,"Civil Hospital Blood Bank, Near Bus Stand ",352829,9916915019,drjoginderkapoor1962@gmail.com,Government,YES,24x7
612,"Maharaja Agrasen Medical College, Agroha, Blood Bank",Haryana,Hisar,Hisar/Agroha,187441,9744,1227,506,1655,1956,1374,833,1576,617,1081,Opp. Agroha Dham,286570,9092899748,bloodbank@mamc.edu.in,Government,NO,24x7
613,General Hospital Blood Bank Jhajjar,Haryana,Jhajjar,Jhajjhar,151008,9863,1003,1803,1973,555,1249,70,1927,1283,394,Model Town,449524,8674200788,dhs.csjjr@hry.nic.in,Private,NO,24x7
614,General Hospital Blood Bank Jind,Haryana,Jind,Jind,106313,7378,1327,196,530,709,1757,1456,501,902,2694,"Civil Hospital, DC Colony",505727,8701067896,"msghjind10@gmail.com, jaikumar.mann@gmail.com, bloodbankghjind@gmail.com",Charity,YES,24x7
615,National Blood Bank,Haryana,Jind,Jind,175398,7662,510,53,736,1959,1454,450,1215,1285,2602,"Kharab Hospital, Gohana Road, Jind",223345,7942497560,,Government,YES,12x7
616,Gangaputra Hospital and Research Centre Blood Bank,Haryana,Jind,Kandela,193829,10336,402,1201,1625,779,1057,1897,1703,1672,3459,"Kaithal Road, Kandela",211976,9807073884,lohamalewa@gmail.com,Charity,YES,24x7
617,Smt. Indira Gandhi Government Multispeciality Blood Bank,Haryana,Kaithal,Kaithal,214034,7079,57,938,757,1634,678,1236,1606,173,4916,"G. H. Sector-18, Bypass Road, Near bus stand, Kaithal By pass",228532,8399134766,"Bloodbankghktl@gmail.com, gulabsungroya@gmail.com",Private,YES,24x7
618,Haryana Institute of Medical Sciences (HIMS) Hospital Blood Bank,Haryana,Kaithal,Kaithal,155811,9136,1188,776,1722,12,340,1979,1491,1628,3477,"NH-152, Village-Ujhana, Ambala Road, Kaithal",498213,8339779398,hims.ktl@gmail.com,Government,NO,24x7
619,Kapisthal Blood Bank,Haryana,Kaithal,Kaithal,219117,6348,27,186,1735,714,1023,755,763,1145,4759,"Plot No. 11, Rishi Nagar, Kaithal
Karnal Road
",324229,8192494283,kapisthalbloodbank123@gmail.com,Charity,NO,24x7
620,General Hospital Blood Bank Karnal,Haryana,Karnal,Karnal,64138,3729,396,74,347,998,73,861,231,749,1743,"Old Court Road, Karnal",365396,8540725884,rbtcghknl@gmail.com,Government,NO,24x7
621,Nirmal Institute of Medical Sciences and Technology Blood Bank,Haryana,Karnal,Karnal,189420,7825,671,423,1382,845,1632,889,160,1823,537,"69, Jarnally Colony, Opposite Kalpana Chawla Medical College, Karnal.",236747,8459637663,nims1999@gmail.com,Government,YES,24x7
622,Pandit Ram Prakash Hospital and Kidney Centre Blood Bank,Haryana,Karnal,Karnal,28503,8421,392,1255,973,1228,1593,682,1660,638,534,"Civil Hospital Road, Karnal",336478,6257462907,"gd.sharma@rediffmail.com, balwinderkumar175@gmail.com",Government,YES,24x7
623,Save Life Blood Bank,Haryana,Karnal,Karnal,248450,9298,1229,1805,1822,740,770,190,1211,1531,898,"16, Jarnally Colony, 1st floor, Opposite to General Hospital, Karnal",398556,7894332675,sikkalab@gmail.com,Charity,YES,12x7
624,LNJP District Government Hospital Blood Bank ,Haryana,Kurukshetra,Kurukshetra,15224,7549,130,267,1062,1564,1046,392,1482,1606,4367," Thanesar, Kurukshetra, SH-6, Kaithal Kurukshetra Road, ",285871,6816490095,"mnjt1972@yahoo.co.in, cskkr@gmail.com",Charity,NO,24x7
625,Kurukshetra Blood Bank,Haryana,Kurukshetra,Kurukshetra,254918,6716,279,1840,1148,8,457,1351,96,1537,1360,"SCO.07-08 BASMENT,  Near LIC Building",347164,8338877788,"kbloodbankk@gmail.com, sushaadkunj@gmail.com",Private,YES,24x7
626,Adesh Blood Bank,Haryana,Kurukshetra,Kurukshetra,153267,7501,1524,1851,186,344,579,172,1920,925,3187,"NH - 1, Near Ambala Cantt., Village Mohri, TEHSIL. SHAHBAD (M)",495174,9596606756,,Government,YES,24x7
627,Civil Hospital Narnaul ,Haryana,Mahendragarh,Narnaul,17408,6729,816,803,506,758,1911,175,179,1581,4891,"New Mohalla Mandi, Narnaul",241991,9196756407,bloodbankghnarula@gmail.com,Government,NO,24x7
628,General Hospital Blood Bank Mandikhera,Haryana,Mewat,Mandikhera,192654,9329,1809,312,1504,1476,870,693,1856,809,2985,"Mandikhera, Mewat",402095,9172121124,bbghcsmwt@gmail.com,Private,NO,24x7
629,Shaheed Hasan Khan Mewati Government Medical College Blood Bank  ,Haryana,Mewat,Nuh,53559,7656,1339,1976,133,677,627,659,1968,277,3808,"Nalhar, Tehsil Nuh, Mewat",239729,8969337813,gmcmewat@gmail.com,Charity,YES,24x7
630,Diamond Blood Bank LLT,Haryana,Palwal,Palwal,78174,9445,787,714,1720,1990,1288,1792,622,532,2896,"Om premia Hospital, 56 km Stone,NH-2, Delhi Mathura Road, Palwal, Faridabad",227612,9659297971,bloodbank@ompremiahospital.com,Government,YES,12x7
631,General Hospital Blood Bank Palwal,Haryana,Palwal,Palwal,69973,9322,1015,874,1889,1969,205,838,1089,1443,475,New Sohna Road,204254,6295680444,bloodbankpalwal@gmail.com,Charity,YES,24x7
632,Command Hospital Blood Bank,Haryana,Panchkula,Panchkula,158073,6966,1869,1404,599,1434,142,679,618,221,3155,"Chandimandir Cantonment, Panchkula",332742,9219076600,,Private,YES,24x7
633,Alchemist Hospital Panchkula Blood Bank,Haryana,Panchkula,Panchkula,83972,7945,1748,642,741,932,563,760,1651,908,3158,"Sector 21, Panchkula",247482,8622237419,"bloodbank@alchemisthospitals.com, gp.saluja@alchemisthosptals.com",Government,NO,24x7
634,District Hospital Panchkula Blood Bank,Haryana,Panchkula,Panchkula,205583,9026,491,1707,1406,1542,1161,751,1658,310,4117,"Civil Hospital Blood Bank, Sector 6",414628,6501106604,bbghpkl@gmail.com,Charity,NO,24x7
635,N.C. Medical College and Hospital Blood Bank,Haryana,Panipat,Israna,253808,8060,1914,288,1070,1208,1545,545,903,587,386,"N.C. Medical College and Hospital, Panipat-Rohtak Road, Israna, Panipat",346657,7445966152,info@sdctrust.org,Government,NO,24x7
636,Red Cross Blood Bank,Haryana,Panipat,Panipat,239120,4832,1430,307,317,1223,119,240,135,1061,1502,"Indian Red Cross Society, Red Cross Bhawan, G.T. Road",216700,6633738263,redcrosssocietypnp@gmail.com,Government,YES,24x7
637,Prem Blood Bank,Haryana,Panipat,Panipat,211895,10000,1576,1951,1206,1636,1423,179,994,1035,4774,"A unit of Lala Harbhagwan Dass Memorial & Dr. Prem Hospital Pvt. Ltd., Bishan Sarop Colony, Opp Bus Stand, ",381417,7656291779,"premhospitaldr@gmail.com, admin@drpremhospital.com",Government,YES,24x7
638,Bharat Blood Bank,Haryana,Panipat,Panipat,32661,5765,1339,185,1681,592,35,558,933,442,2964,"467-D/4, West Press Colony, Near Bust Stand, Sukhdev Nagar",380936,7117453039,bloodbank.bharat@gmail.com,Charity,YES,12x7
639,Panipat Blood Bank,Haryana,Panipat,Panipat,115191,7412,1927,36,1110,1804,454,506,709,866,1883,"332-R Model Town, Near Ramlal Chowk",281495,6903914887,"bkgupta35@gmail.com, ishakanavgupta@gmail.com",Charity,NO,24x7
640,Cygnus Maharaja Aggarsain Hospital Blood Bank,Haryana,Panipat,Panipat,162109,4666,587,464,684,210,1269,801,491,160,4933,"Desraj Colony,Devi Mandir Area",441560,7048473391,bloodbank.cygnus@gmail.com,Private,YES,24x7
641,Rewari Blood Bank,Haryana,Rewari,Rewari,127080,10228,1135,679,1064,1606,1973,1677,392,1702,2389,"Shree Krishna Medical And Social Welfare Society, 53-RL, Model Town",376188,8456601854,"narendraastha@gmail.com, rewaribloodbank@rediffmail.com",Government,YES,24x7
642,General Hospital Rewari Blood Bank,Haryana,Rewari,Rewari,69771,7907,1366,1102,807,524,387,1514,262,1945,2628,"Room No. 16, Government / Civil Hospital Blood Bank,  
Kayasthwara Mohalla, ",275134,7266937746,bloodbankghrewari@gmail.com,Government,NO,24x7
643,Bharti Blood Bank,Haryana,Rewari,Rewari,186901,7996,1705,1420,55,601,730,1419,1808,258,708,Rewari,290344,9337398256,,Private,NO,24x7
644,Pandit Bhagwat Dayal Sharma Post Graduate Institute of Medical Sciences (PGIMS) Blood Bank,Haryana,Rohtak,Rohtak,130907,8942,896,1697,1096,842,1447,718,1713,533,2168,"Medical Road, Maharishi Dayanand University,
Rohtak",498913,6407365322,bloodbankpgimsrtk7@gmail.com,Charity,YES,24x7
645,General Hospital Blood Bank Sirsa,Haryana,Sirsa,Sirsa,88817,5935,606,136,416,1026,840,1080,342,1489,1702,"Room No 25, G.H Sirsa, Near Jhunthra Dharmsala Sirsa",239554,8408505713,bbghsirsa@gmail.com,Government,YES,12x7
646,Shiv Shakti Blood Bank,Haryana,Sirsa,Sirsa,65457,6412,163,433,758,980,1577,428,637,1436,3428,"Guru Gobind Singh Marg, B Block,Opposite to Valmiki Chowk",320489,9846494946,bloodsafety@yahoo.com,Charity,YES,24x7
647,Bapu Maghar Singh Ji International Blood Bank,Haryana,Sirsa,Sirsa,193418,11503,1967,1530,1699,1431,945,750,1780,1401,906,"Shah Satnam Singh Ji Speciality Hospital, 
Nohar Bhadra Road,Shahpur Begu, Near Shah Satnam Ji Dham, Dera Sacha Sauda",343932,9748611125,dssbloodbank@gmail.com,Private,YES,24x7
648,Bapu Maghar singh ji,Haryana,Sirsa,Sirsa,60442,9894,1187,530,1753,1205,1249,1895,1413,662,2087,Sirsa,380767,7072933899,,Government,NO,24x7
649,General Hospital Blood Bank Sonipat,Haryana,Sonipat,Sonipat,218256,8276,883,1607,658,1607,962,1206,685,668,916,"Delhi Road, Near Maharana Pratap Chowk",345647,9816516452,"bloodbankchsnp@gmail.com, dr.sukhbirsingh55@yahoo.com",Charity,NO,24x7
650,Sonipat Blood Bank,Haryana,Sonipat,Sonipat,116668,6121,736,47,1001,859,401,136,1984,957,2133,"Near Saxsena Hospital, Sector-14
TO Scheme No. -15",299854,6567380021,sonipatbloodbank@gmail.com,Government,NO,24x7
651,Bhagat Phool Singh Government Medical College for Women Blood Bank,Haryana,Sonipat,Sonipat,257158,6619,419,542,1459,472,570,189,1620,1348,1098,"Kanpur Kalan, Sonipat",458007,7728065058,drvermasanjay04@gmail.com,Government,YES,24x7
652,Shree MAA Blood Bank,Haryana,Yamunanagar,Jagadhri,23777,6813,56,1264,1870,46,1028,347,1330,872,4057,"1st Floor, Goel Hospital, Jagadhri, Yamunanagar.
Opp Sapphire hotel, railway road, Near Krishna Bajaj auto agency",477507,7632673030,shrimaabloodbank@gmail.com,Government,YES,24x7
653,MLGH Trauma Centre Yamuna Nagar Blood Bank ,Haryana,Yamunanagar,Yamunanagar,17275,7148,1579,414,191,1021,1368,961,1596,18,4830,"Civil Hospital Blood Bank, Jagadhari, Above Trauma Center, 
Yamunanagar",314221,7549507428,bloodbanktcynr@gmail.com,Charity,YES,12x7
654,Bilaspur Regional Hospital Blood bank,Himachal Pradesh,Bilaspur,Bilaspur,113137,8595,1473,1737,1916,811,972,218,75,1393,1166,"Changer Sector Bilaspur, Near D.C.Office Bilaspur",366366,6527521513,ltranjeet926@gmail.com,Charity,NO,24x7
655,Chamba Regional Hospital Blood Bank ,Himachal Pradesh,Chamba,Chamba,54238,8697,1249,582,1337,25,1327,1883,625,1669,578,"Regional Hospital, Chamba",211097,6328220510,,Private,YES,24x7
656,Bhota Charitable Hospital Blood Bank,Himachal Pradesh,Hamirpur,Bhota,218779,8013,365,1310,1927,819,261,1235,178,1918,2981,Hamirpur,215845,6998088866,bhota@mjsmrs.net ,Government,YES,24x7
657,Hamirpur Regional Hospital Blood bank,Himachal Pradesh,Hamirpur,Hamirpur,46541,7880,996,1214,328,1257,692,1215,1586,592,3600," Agriculture Colony, Hamirpur,",253423,9179547655,bbohomirpurhp@gmail.com,Government,NO,24x7
658, Dharamshala Zonal Hospital Blood Bank,Himachal Pradesh,Kangra,Dharamshala,147743,10238,1460,1510,1939,1032,1840,950,1085,422,3282,"Zonal Hospital, Dharamshala",490162,9573834956,bbankzhdshala215@gmail.com,Private,NO,24x7
659,Dr Rajendra Prasad Government Medical College (RPGMC) Blood Bank Tanda,Himachal Pradesh,Kangra,Kangra,238229,5809,492,1293,181,1002,699,1507,62,573,2372,"Dr. Rajendra Prasad Government Medical College, Kangra at Tanda",493792,6419883066,tncbbank@gmail.com,Charity,YES,24x7
660,"Military Hospital,Yol Cant, Kangra",Himachal Pradesh,Kangra,Kangra,154191,7966,593,169,867,1483,1754,895,893,1312,4326,"Yol Cantt, Kangra",268855,8253922708,,Government,YES,12x7
661,Civil Hospital Blood Bank Palampur,Himachal Pradesh,Kangra,Palampur,254738,10134,1590,1190,1324,1495,1908,1399,1149,79,713,"Civil Hospital, Palampur, Kangra",504461,8659769982,bloodbankplp@gmail.com,Charity,YES,24x7
662,Reckong Peo Regional Hospital Blood Bank ,Himachal Pradesh,Kinnaur,Reckong Peo,247535,8013,97,358,667,777,1688,1473,1415,1538,863,"Reckong Peo, Kinnaur, Himachal Pradesh
",461914,9084141414,bbrhpeo@gmail.com,Private,YES,24x7
663,Kullu Regional Hospital Blood Bank ,Himachal Pradesh,Kullu,Dhapur,56345,6776,828,646,523,1914,251,1425,257,932,2224,"R.No. 320, Kullu Regional Hospital ",347161,7491654242,lackullu@gmail.com,Government,NO,24x7
664,Netaji Subhash Chander Bose Zonal Hospital Blood Bank,Himachal Pradesh,Mandi,Mandi,204433,8146,1388,1239,1952,1554,858,524,34,597,1810,"Netaji Subhash Chander Bose Zonal Hospital, Mandi",344876,7810151940,aripooja.ar@gmail.com,Charity,NO,24x7
665,Rohru Civil Hospital Blood Bank ,Himachal Pradesh,Shimla,Rohru,74697,7611,883,665,1971,1200,780,162,431,1519,2169,"Rohru, Shimla",423253,9322174947,smorohru@gmail.com,Government,NO,24x7
666,Indira Gandhi Medical College Blood Bank Shimla,Himachal Pradesh,Shimla,Shimla,234083,5516,1514,569,438,923,310,944,290,528,1450,"Department of BT and IH, Indira Gandhi Medical College, 
Near Lakkar Bazar",268139,8563409360,bbigmc@gmail.com,Government,YES,24x7
667,Deen Dayal Updhayay Hospital Blood Bank,Himachal Pradesh,Shimla,Shimla,169820,5307,377,783,577,589,373,1820,643,145,1349,"DDU Complex, Shimla",231370,9380409660,,Government,YES,24x7
668,Kamla Nehru Hospital Blood Bank,Himachal Pradesh,Shimla,Shimla,59918,8980,1817,1416,768,1691,813,331,1234,910,1854,"Kamla Nehru Hospital, NH-22, Near Mall Road",344888,6710813157,bbknhsml@gmail.com,Charity,YES,12x7
669,Mahatma Gandhi Medical Services Blood Bank Rampur,Himachal Pradesh,Shimla,Shimla,252086,6933,797,806,124,907,1127,758,519,1895,206,"Mahatma Gandhi Medical Services Blood Bank Rampur,
Near Jakh Institute of Nursing",242567,9169128153,padam0108ps@gmail.com,Charity,NO,24x7
670,Nahan Regional Hospital Blood Bank ,Himachal Pradesh,Sirmaur,Nahan,257002,10242,443,1830,1332,1261,1152,1920,1564,740,1475,"Regional Hospital, Nahan ",389849,6436571741,,Private,YES,24x7
671,Malhotra Super Speciality Hospital Blood Bank ,Himachal Pradesh,Solan,Baddi,105563,7810,748,1573,120,990,1800,470,1312,797,4913,"(A Unit of Malhotra Clinics Private Limited), SCO No. 8, Himuda Bhatoli Kalan, Opp.- Mahavir Spinning Mills, Baddi",252583,9185572236,drmukeshmalhotra@gmail.com,Government,YES,24x7
672,Maharishi Markendeshwar Medical College and Hospital Blood Bank,Himachal Pradesh,Solan,Lado,76004,8443,287,1115,1813,1720,1129,1068,1050,261,1665,"LADO, Sultanpur Road, Kumarhatti, Solan
",418951,8457847017,msoffice@mmusolan.org,Government,NO,24x7
673, Solan Regional Hospital Blood Bank,Himachal Pradesh,Solan,Solan,22150,8555,1515,529,525,1110,1696,1992,347,841,3862,"Regional Hospital, Near Lakkar Bazar, Tank Road",485661,8484467437,safebloodrhs@gmail.com,Private,NO,24x7
674,Una Regional Hospital Blood Bank ,Himachal Pradesh,Una,Una,248684,8694,147,896,1909,580,1015,727,1590,1830,3492,"Regional Hospital, Una",358721,8460255240,bloodbankuna2@gmail.com,Charity,YES,24x7
675,MMAB memorial District Hospital  Blood Bank Anantnag,Jammu and Kashmir,Anantnag,Anantnag,210390,4674,311,928,500,1340,651,135,544,265,4066,"MMAB memorial Blood Bank, Janglat Mandi, District Hospital, Anantnag",411405,9232468924,,Government,YES,12x7
676,Baramulla District Hospital Blood Bank,Jammu and Kashmir,Baramulla,Baramulla,16172,9217,1926,880,348,1624,1955,854,44,1586,3574,"District Hospital, Kanthbagh, Baramulla",346950,8536095059,bbankdhbla@gmail.com,Charity,YES,24x7
677,Chodana Sub-District Hospital Blood Bank,Jammu and Kashmir,Budgam, Budgam ,240271,9606,1407,1868,1726,1192,278,286,1392,1457,2479,"Sub-District Hospital, Chadoora, Budgam",334716,7488597340,,Private,YES,24x7
678,Budgam District Hospital Blood Bank ,Jammu and Kashmir,Budgam,Budgam ,245227,7794,80,803,1729,266,1480,1619,70,1747,1008,"ASYM District Hospital Campus, Near District Court Complex",418676,7147892669,medsupdhb@gmail.com,Government,NO,24x7
679,Doda District Hospital Blood Bank ,Jammu and Kashmir,Doda,Doda,157410,4392,228,498,216,561,530,424,759,1176,1536,"District Hospital, Doda",290995,8554004420,,Charity,NO,24x7
680,District Hospital Blood Bank Ganderbal ,Jammu and Kashmir,Ganderbal,Ganderbal,26145,5864,869,18,310,1065,829,502,1106,1165,3879,Ganderbal,389696,6496696179,,Government,NO,24x7
681,Government Hospital Blood Bank Gandhi Nagar,Jammu and Kashmir,Jammu, Jammu ,167609,7757,1826,1835,76,200,1602,888,117,1213,4101,"Government Hospital, Gandhi Nagar, Jammu",284824,9324779538,,Government,YES,24x7
682,Government Medical College and Hospital Blood Bank,Jammu and Kashmir,Jammu,Jammu ,60678,11173,1810,1378,1592,1657,301,1768,1758,909,1542,"Government Medical College and Hospital, Mahesh Pura Chowk, Bakshi Nagar",452551,8727733224,sawhney.461@rediffmail.com,Government,YES,24x7
683,Sri Maharaja Gulab Singh (SMGS) Hospital Blood Bank,Jammu and Kashmir,Jammu,Jammu ,211403,9634,1531,1357,857,1827,728,1093,1465,776,1677,"Shalamar Road, Indra Chowk, Jammu",409384,9298693652,,Charity,YES,12x7
684,Bee Enn General Hospital Blood Bank,Jammu and Kashmir,Jammu,Jammu ,39274,5114,724,576,918,731,339,1330,356,140,2886,"Garden Avenue, Bhagwati Nagar, Talab Tillo, Jammu",422626,6277756170,bngh@beengroup.com,Charity,NO,24x7
685,Sainik Asptal Blood Bank Satwari,Jammu and Kashmir,Jammu,Satwari,163281,10011,1390,1704,319,1032,1838,1921,281,1526,738,"166, Military Hospital, C/o. 56 APO",493121,7311300284,,Private,YES,24x7
686,Acharya Shri Chander College of Medical Sciences and Hospital Blood Bank,Jammu and Kashmir,Jammu,Sidhara,245895,9872,1756,1789,1982,920,629,1933,117,746,3869,"Acharya Shri Chander College of Medical Sciences and Hospital, N.H ByPass P.O Majeen",259270,7687156542,,Government,YES,12x24
687,Kargil District Hospital (Kargil Ladakh Kashmir Division) Blood Bank ,Jammu and Kashmir,Kargil,Kargil ,207932,7621,1782,357,834,55,1549,640,1623,781,339,"District Hospital, Kargil Ladakh Kashmir Division, Jammu and Kashmir",306545,8209049123,,Government,NO,24x7
688,Kathua District Hospital Blood Bank ,Jammu and Kashmir,Kathua,Kathua ,25682,7256,1583,607,593,1005,749,600,1082,1037,470,"District Hospital, Kathua ",311462,6236514104,,Private,NO,24x7
689,Kishtwar District Hospital Blood Bank  ,Jammu and Kashmir,Kishtwar,Kishtwar ,213790,6172,1020,87,982,1823,373,784,48,1055,4431,"District Hospital, Near Bus stand Kishtwar.",329019,8216750966,bloodbankkishtwar@gmail.com,Charity,YES,24x7
690,Kulgam District Hospital Blood Bank ,Jammu and Kashmir,Kulgam,Kulgam ,33023,9366,1830,1592,677,1841,1093,1933,104,296,1095,"Kulgam Quzigund Road, opposite to Fruit mandi Kulgam",317536,7089899323,,Government,YES,24x7
691,Handwara District Hospital Blood Bank,Jammu and Kashmir,Kupwara,Handwara,216340,8628,957,643,1885,57,713,1870,765,1738,1193,"Handwara Hwy, Shaheen Colony, Durashpora, Handwara",406818,6859692580,d.r.randwara@gmail.com,Charity,YES,24x7
692,General Hospital Blood Bank,Jammu and Kashmir,Leh Ladakh,Leh,190387,6465,1038,681,1285,484,431,29,667,1850,473,"153, General Hospital, C/o. 56 APO, Leh Ladakh ",503138,6365910901,,Private,YES,24x7
693,SNM Hospital Blood Bank,Jammu and Kashmir,Leh Ladakh,Leh ,193167,8424,1387,769,237,1569,89,793,1771,1809,4692,"SNM Hospital, Main Bazar, Leh",485238,9761169213,,Government,NO,24x7
694,Raja Sukhdev Singh District Hospital Poonch,Jammu and Kashmir,Poonch,Haveli,18361,6446,803,1173,614,1957,1003,546,217,133,3749,"District Hospital, Poonch",460889,8294305462,zabas63@gmail.com,Charity,NO,24x7
695,Pulwama District Hospital Blood Bank ,Jammu and Kashmir,Pulwama,Pulwama,90678,8816,356,1366,1812,1398,640,940,746,1558,3859,"District Hospital, Pulwama",218717,6489612038,bbdhpulwama@gmail.com,Government,NO,24x7
696,General Hospital Blood Bank (Army),Jammu and Kashmir,Rajouri, Rajouri ,206164,10802,1812,1961,1145,1154,1401,661,862,1806,3251,"150, General Hospital, Rajouri",326673,8616655666,,Government,YES,12x7
697,Rajouri District Hospital Blood Bank ,Jammu and Kashmir,Rajouri,Rajouri,23271,6619,303,76,727,1209,1323,1985,255,741,1801,"District Hospital,  kheora, Rajouri
",419402,8060448395,,Government,YES,24x7
698,Ramban District Hospital Blood Bank ,Jammu and Kashmir,Ramban,Ramban,54397,7398,56,1027,31,956,1314,1673,1032,1309,3322,"NH1A, Upper Bazaar, Ramban,",398379,6888627404,,Charity,YES,24x7
699,District Hospital Blood Bank Sambha ,Jammu and Kashmir,Samba,Samba,73744,10428,1280,1180,1912,102,1577,1422,1806,1149,2541,"District Hospital, Near Sabzi Mandi, Samba",349798,9487010736,,Charity,NO,24x7
700,District Hospital Blood Bank Shopian ,Jammu and Kashmir,Shopian,Shopian,20037,12073,1496,1322,1827,1695,1510,1866,1802,555,1362,Shopian,334794,9027793793,,Private,YES,24x7
701,Shri Maharaja Hari Singh (SMHS) Hospital Blood Bank,Jammu and Kashmir,Srinagar, Srinagar ,12066,5456,1043,1861,309,504,300,752,138,549,1928,"SMHS Road, Near Gold Market, Karan Nagar, Srinagar, ",288203,7546200175,bloodbanksmhshospitalsgr@gmail.com,Government,YES,24x7
702,92 Base Hospital Blood Bank,Jammu and Kashmir,Srinagar, Srinagar            ,59000,4468,324,38,1521,397,436,56,1132,564,1003,"92 Base Hospital, C/o. 56 APO,  Badami Bagh, Srinagar",392303,6836602635,yes,Government,NO,24x7
703,Sher-I-Kashmir Institute of Medical Sciences (SKIMS) Blood bank,Jammu and Kashmir,Srinagar,Srinagar ,199051,7486,1173,1501,1293,1132,561,501,1199,126,1148,"Sher-I-Kashmir Institute of Medical Sciences (SKIMS), 
Anchar, Soura, Srinagar",262930,8773011593,bloodtransfusion@skims.in,Private,NO,24x7
704, Government Lal Ded Hospital Blood Bank,Jammu and Kashmir,Srinagar,Srinagar            ,13599,6334,473,165,224,91,1781,1976,1229,395,4440,"Wazirbagh, Srinagar GPO, Srinagar",431016,8637582536,,Charity,YES,12x7
705,Government Bone and Joint Surgery Hospital Blood Bank,Jammu and Kashmir,Srinagar,Srinagar ,229270,8763,1060,530,1902,1629,1292,1499,623,228,734,"Government Bone and Joint Surgery Hospital, Near Barzulla bridge, Srinagar",350907,7224764897,,Government,YES,24x7
706,Jawahar Lal Nehru Memorial Hospital Blood Bank,Jammu and Kashmir,Srinagar,Srinagar ,20085,6870,31,1251,1645,944,256,1919,647,177,1513,"Jawahar Lal Nehru Memorial Hospital Blood Bank, Rainwari, Srinagar",436565,8825269920,,Charity,YES,24x7
707,Command Hospital Blood Bank ,Jammu and Kashmir,Udhampur,Udampur ,165556,8594,121,1769,453,1271,1029,764,1550,1637,204,"Command Hospital, Uttari Kaman, C/o Uttari Kaman, Udhampur",340950,7628650794,,Private,YES,24x7
708,Udhampur District Hospital Blood Bank ,Jammu and Kashmir,Udhampur,Udhampur,34550,11010,1487,1515,1633,792,1746,1028,1618,1191,4330,"Udhampur  District Hospital, Near ITI collage",443295,9286653556,msudh1@rediffmail.com,Government,NO,24x7
709,Indian Red Cross Society Blood Bank Bokaro,Jharkhand,Bokaro,Bokaro,28059,8237,564,1971,409,1375,1547,661,1399,311,3826,"IRCS, Blood bank, Pandit Jawahar lal Nehru Marg, Near Airport, Sector 1 B.S. City",371740,6321227969,bbircsbokaro@gmail.com,Charity,NO,24x7
710,Bokaro General Hospital Blood Bank,Jharkhand,Bokaro,Bokaro,26785,7266,1751,796,1369,965,355,75,1771,184,2459,"Blood Bank, Bokaro General Hospital, Sector - 4, Bokaro Steel City",259016,9189037553,bloodbankbgh@gmail.com,Government,NO,24x7
711,K.M. Memorial Hospital & Research Center Blood Bank,Jharkhand,Bokaro,Bokaro,147105,5594,151,65,201,1632,1862,496,357,830,4334,"Blood Bank, K.M. Memorial Hospital & Research Center, By Pass Road Chas Bokaro",364714,8862580478,kmmbloodbank@gmail.com,Government,YES,12x7
712,Deoghar Sadar Hospital Campus Blood Bank ,Jharkhand,Deoghar,Deogarh,24537,7674,1474,1637,1739,515,740,1074,43,452,2304,"Blood Bank, Sadar Hospital, Deoghar ",360375,9993412423,bloodbanddeoghar@gmail.com,Government,YES,24x7
713,Patliputra Medical college and Hospital (PMCH) Blood Bank Dhanbad,Jharkhand,Dhanbad,Dhanbad,243712,8120,326,1219,732,748,1780,1395,1323,597,377,"PMCH, Saraidhela, Dhanbad, PO. BCCL Township",302507,7690051977,bloodbankpmch@gmail.com,Charity,YES,24x7
714,Central Hospital Blood Bank BCCL Dhanbad,Jharkhand,Dhanbad,Dhanbad,217076,8917,564,1460,1928,61,373,1178,1470,1883,4119,"Blood Bank, Central Hospital, BCCL, Dhanbad",443016,6221829684,,Charity,NO,24x7
